id,region,year,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price,manufacturer
79,south jersey,2016,excellent,6 cylinders,gas,102584,rebuilt,automatic,fwd,mid-size,sedan,blue,nj,36691,bmw
80,salt lake city,2010,excellent,6 cylinders,gas,131694,clean,automatic,fwd,mid-size,SUV,white,ut,5172,buick
81,des moines,2014,excellent,4 cylinders,gas,112367,rebuilt,automatic,fwd,mid-size,sedan,black,ia,17022,chevrolet
82,rhode island,2011,fair,4 cylinders,gas,188249,clean,automatic,fwd,mid-size,SUV,blue,ri,2154,toyota
83,rochester,2012,excellent,8 cylinders,gas,134571,clean,automatic,4wd,full-size,truck,silver,ny,25896,ram
84,atlanta,2003,good,4 cylinders,gas,145781,clean,automatic,fwd,full-size,coupe,black,ga,5850,ford
85,rochester,2012,like new,6 cylinders,gas,88404,clean,automatic,4wd,mid-size,SUV,white,ny,14905,dodge
86,syracuse,1995,good,8 cylinders,diesel,167305,clean,automatic,4wd,full-size,truck,white,ny,7577,ram
87,wilmington,2003,fair,6 cylinders,gas,146322,clean,automatic,4wd,full-size,SUV,silver,de,11059,ford
88,baltimore,2012,excellent,6 cylinders,gas,180681,clean,automatic,fwd,mid-size,SUV,silver,md,3492,lexus
89,sarasota-bradenton,1997,fair,12 cylinders,gas,145446,clean,automatic,rwd,compact,coupe,red,fl,16507,mercedes-benz
90,"kansas city, MO",2012,excellent,6 cylinders,gas,109028,rebuilt,automatic,fwd,mid-size,sedan,blue,mo,8886,dodge
91,columbus,2009,good,4 cylinders,gas,227871,clean,automatic,fwd,mid-size,wagon,green,oh,7572,toyota
92,central NJ,2005,excellent,4 cylinders,gas,121319,clean,manual,fwd,compact,sedan,blue,nj,3098,honda
93,boston,2006,good,4 cylinders,gas,219844,clean,manual,fwd,full-size,sedan,silver,ma,2276,hyundai
94,albany,2007,excellent,8 cylinders,gas,147568,clean,automatic,rwd,full-size,truck,brown,ny,5740,ford
95,orange county,2016,good,6 cylinders,gas,37991,clean,automatic,rwd,full-size,van,white,ca,30566,ford
96,santa maria,2010,excellent,6 cylinders,gas,88676,clean,automatic,4wd,full-size,pickup,black,ca,24123,ram
97,prescott,2016,like new,4 cylinders,gas,85737,clean,manual,fwd,compact,convertible,red,az,7817,bmw
98,"washington, DC",2001,fair,6 cylinders,gas,173499,clean,automatic,fwd,full-size,SUV,silver,dc,3063,ford
99,bowling green,2006,excellent,4 cylinders,gas,108928,clean,manual,rwd,full-size,van,red,ky,5836,ford
100,jacksonville,2011,excellent,6 cylinders,gas,108774,clean,automatic,4wd,mid-size,SUV,red,fl,8563,bmw
101,tucson,2009,fair,6 cylinders,gas,220385,clean,automatic,fwd,full-size,SUV,green,,7426,toyota
102,greensboro,2013,excellent,8 cylinders,gas,53292,rebuilt,automatic,4wd,mid-size,SUV,blue,nc,42154,ford
103,san diego,2019,excellent,4 cylinders,gas,138595,clean,automatic,fwd,full-size,SUV,black,,10601,nissan
104,tucson,2010,excellent,4 cylinders,gas,24949,clean,automatic,4wd,mid-size,SUV,black,az,21529,ford
105,baltimore,2015,fair,6 cylinders,gas,138419,clean,automatic,fwd,full-size,SUV,white,md,4440,jeep
106,detroit metro,2013,excellent,6 cylinders,gas,28173,rebuilt,automatic,fwd,full-size,sedan,black,mi,10979,honda
107,corpus christi,1995,good,8 cylinders,gas,115452,clean,manual,fwd,mid-size,coupe,blue,tx,5852,ford
108,chicago,2010,excellent,6 cylinders,gas,158058,clean,manual,4wd,compact,SUV,silver,il,8725,bmw
109,charlotte,1990,fair,8 cylinders,gas,135456,clean,automatic,fwd,full-size,pickup,blue,nc,5284,ram
110,central NJ,1997,good,8 cylinders,gas,92758,clean,manual,rwd,full-size,coupe,white,nj,23657,ford
111,central NJ,2011,good,8 cylinders,gas,81336,rebuilt,manual,rwd,mid-size,sedan,white,nj,8386,chevrolet
112,anchorage / mat-su,2002,good,8 cylinders,diesel,243694,clean,automatic,4wd,full-size,truck,silver,ak,13881,ford
113,st cloud,1998,good,6 cylinders,gas,214411,clean,automatic,fwd,mid-size,SUV,silver,mn,2336,toyota
114,tulsa,2014,excellent,6 cylinders,diesel,107947,clean,manual,4wd,full-size,pickup,black,ok,18710,ford
115,rhode island,2012,excellent,6 cylinders,gas,82367,clean,automatic,fwd,compact,sedan,white,,7294,toyota
116,rhode island,2010,excellent,6 cylinders,gas,147162,clean,automatic,4wd,full-size,SUV,silver,ri,8935,gmc
117,madison,2014,good,4 cylinders,gas,150213,clean,automatic,fwd,mid-size,SUV,blue,wi,11467,honda
118,indianapolis,2011,excellent,6 cylinders,gas,122781,clean,automatic,4wd,full-size,SUV,blue,in,14478,bmw
119,boise,2005,excellent,6 cylinders,gas,136071,rebuilt,automatic,4wd,mid-size,pickup,silver,id,8120,chevrolet
120,long island,2007,excellent,4 cylinders,gas,36953,clean,automatic,4wd,full-size,SUV,black,,25010,chevrolet
121,baltimore,2004,like new,8 cylinders,,214678,clean,automatic,fwd,full-size,van,grey,md,1533,ford
122,bakersfield,2013,excellent,4 cylinders,gas,151408,clean,other,fwd,full-size,SUV,green,ca,3247,mitsubishi
123,central NJ,1983,fair,8 cylinders,gas,18207,clean,automatic,rwd,full-size,truck,black,nj,29532,chevrolet
124,vermont,1996,good,8 cylinders,gas,178183,clean,automatic,rwd,sub-compact,truck,black,,3288,chevrolet
125,orange county,2014,excellent,6 cylinders,gas,121382,salvage,automatic,4wd,compact,offroad,black,ca,17791,ford
126,flagstaff / sedona,2010,salvage,4 cylinders,gas,209187,clean,manual,fwd,compact,sedan,green,az,1161,toyota
127,central NJ,1982,excellent,8 cylinders,,151312,clean,automatic,4wd,full-size,truck,grey,nj,22234,ram
128,high rockies,2013,excellent,4 cylinders,gas,79889,clean,automatic,rwd,mid-size,SUV,silver,co,50072,ford
129,la crosse,2012,good,8 cylinders,gas,75510,clean,automatic,fwd,full-size,truck,white,wi,6278,ford
130,orlando,1994,excellent,6 cylinders,gas,150367,clean,manual,fwd,full-size,sedan,blue,fl,6008,chevrolet
131,worcester / central MA,2014,excellent,6 cylinders,gas,60298,rebuilt,automatic,rwd,mid-size,SUV,black,ma,32528,bmw
132,los angeles,2015,excellent,4 cylinders,gas,148248,rebuilt,manual,fwd,mid-size,SUV,black,ca,12681,audi
133,baltimore,2014,excellent,4 cylinders,gas,72493,clean,automatic,fwd,full-size,SUV,black,md,24342,ford
134,western massachusetts,2017,excellent,6 cylinders,gas,16219,clean,manual,4wd,full-size,SUV,blue,ma,18140,jeep
135,tucson,2016,excellent,10 cylinders,,76158,clean,manual,4wd,full-size,truck,black,az,21581,ram
136,syracuse,2019,excellent,4 cylinders,gas,127850,clean,automatic,4wd,full-size,truck,white,ny,17793,chevrolet
137,central NJ,2013,excellent,6 cylinders,gas,102353,clean,automatic,fwd,mid-size,sedan,black,nj,7533,ford
138,pittsburgh,2014,excellent,6 cylinders,diesel,119266,clean,automatic,4wd,full-size,pickup,black,,13083,chevrolet
139,klamath falls,2009,excellent,6 cylinders,gas,140728,clean,manual,rwd,mid-size,convertible,silver,or,10849,bmw
140,florence / muscle shoals,2010,fair,4 cylinders,gas,173036,,automatic,fwd,mid-size,,black,al,3255,toyota
141,rhode island,2019,like new,6 cylinders,gas,106009,clean,automatic,4wd,full-size,SUV,silver,ri,20732,jeep
142,milwaukee,2008,excellent,8 cylinders,gas,153913,clean,automatic,rwd,full-size,SUV,silver,wi,3226,chevrolet
143,chattanooga,2004,excellent,6 cylinders,,115687,clean,manual,fwd,full-size,mini-van,brown,tn,4933,chrysler
144,orange county,2006,good,6 cylinders,gas,101613,clean,automatic,fwd,full-size,coupe,white,ca,5494,toyota
145,las vegas,2014,excellent,6 cylinders,gas,37571,clean,manual,fwd,mid-size,SUV,black,nv,29437,toyota
146,huntsville / decatur,2012,good,4 cylinders,gas,133359,clean,automatic,fwd,full-size,SUV,black,al,5735,toyota
147,humboldt county,2014,excellent,8 cylinders,gas,16521,clean,automatic,4wd,mid-size,truck,black,ca,18419,ford
148,western massachusetts,2002,fair,6 cylinders,gas,157889,,manual,fwd,full-size,,silver,ma,5568,ford
149,medford-ashland,2008,excellent,6 cylinders,gas,107943,clean,automatic,4wd,full-size,truck,grey,or,36197,ram
150,des moines,2002,good,6 cylinders,gas,182165,clean,automatic,fwd,mid-size,SUV,blue,ia,5339,nissan
151,new york city,2014,excellent,4 cylinders,gas,118635,rebuilt,automatic,fwd,mid-size,sedan,red,ny,6472,mitsubishi
152,rochester,2018,fair,6 cylinders,gas,7299,clean,manual,4wd,mid-size,SUV,black,ny,18664,jeep
153,northwest CT,2013,excellent,4 cylinders,gas,104338,clean,automatic,4wd,full-size,sedan,green,ct,6168,chevrolet
154,madison,2017,like new,6 cylinders,diesel,10566,clean,automatic,4wd,full-size,SUV,black,wi,37070,bmw
155,northwest CT,1975,excellent,6 cylinders,gas,29232,clean,manual,rwd,full-size,coupe,white,,28109,chevrolet
156,wyoming,2008,new,6 cylinders,gas,174860,clean,manual,fwd,full-size,truck,silver,wy,22855,toyota
157,youngstown,2015,excellent,6 cylinders,gas,111849,clean,automatic,fwd,compact,sedan,blue,oh,8146,mazda
158,western slope,2013,like new,6 cylinders,gas,95864,clean,automatic,fwd,full-size,SUV,silver,co,7197,bmw
159,bismarck,1987,fair,8 cylinders,gas,184379,clean,manual,rwd,full-size,coupe,green,nd,3559,ford
160,maine,2009,excellent,6 cylinders,gas,99959,clean,automatic,4wd,compact,SUV,white,me,8589,jeep
161,albany,2013,excellent,6 cylinders,gas,65428,clean,automatic,fwd,mid-size,SUV,black,ny,21725,ford
162,orange county,2014,like new,4 cylinders,gas,98187,clean,automatic,fwd,compact,sedan,white,ca,7000,volkswagen
163,sarasota-bradenton,2013,like new,4 cylinders,gas,112474,clean,automatic,fwd,compact,sedan,black,fl,13342,honda
164,fargo / moorhead,1999,like new,6 cylinders,gas,165983,clean,manual,rwd,full-size,truck,black,mn,4653,ford
165,rochester,2016,like new,6 cylinders,gas,73174,clean,automatic,fwd,full-size,SUV,blue,ny,20326,honda
166,south jersey,2007,like new,4 cylinders,gas,338606,clean,manual,4wd,mid-size,SUV,green,nj,3984,ford
167,omaha / council bluffs,2011,excellent,6 cylinders,gas,128012,clean,automatic,4wd,mid-size,pickup,black,ia,16450,jeep
168,tucson,2012,excellent,6 cylinders,gas,93823,clean,automatic,fwd,full-size,sedan,black,az,8708,hyundai
169,flagstaff / sedona,1992,good,8 cylinders,gas,102829,clean,manual,rwd,full-size,pickup,black,az,14371,ford
170,jacksonville,2012,excellent,4 cylinders,gas,128149,rebuilt,automatic,fwd,mid-size,SUV,white,fl,10945,ford
171,winston-salem,2002,good,4 cylinders,gas,202170,clean,manual,fwd,full-size,coupe,silver,nc,5026,volkswagen
172,eugene,2006,excellent,6 cylinders,gas,245344,rebuilt,automatic,4wd,full-size,SUV,black,or,6381,hyundai
173,las vegas,2013,excellent,6 cylinders,gas,104113,clean,automatic,rwd,mid-size,coupe,silver,nv,14364,bmw
174,jersey shore,2011,excellent,4 cylinders,gas,95662,clean,automatic,fwd,mid-size,sedan,silver,nj,4709,volkswagen
175,colorado springs,2015,good,4 cylinders,gas,169314,clean,automatic,fwd,mid-size,SUV,silver,co,5456,kia
176,flint,1990,fair,6 cylinders,gas,166080,clean,manual,4wd,full-size,truck,green,mi,1395,gmc
177,little rock,1987,fair,8 cylinders,gas,82758,clean,manual,rwd,full-size,truck,red,ar,13194,ford
178,rochester,2016,like new,6 cylinders,diesel,101848,clean,automatic,4wd,full-size,SUV,black,,27672,jeep
179,oklahoma city,2012,good,6 cylinders,gas,41822,clean,automatic,rwd,full-size,sedan,white,ok,16498,honda
180,baltimore,2014,excellent,4 cylinders,gas,122429,clean,automatic,fwd,full-size,sedan,black,md,5004,hyundai
181,pittsburgh,2012,excellent,8 cylinders,diesel,96456,clean,automatic,4wd,full-size,truck,white,pa,32445,chevrolet
182,philadelphia,2012,excellent,4 cylinders,gas,98282,clean,automatic,fwd,compact,sedan,black,pa,5773,volkswagen
183,knoxville,2010,like new,6 cylinders,gas,85266,clean,automatic,fwd,mid-size,sedan,blue,tn,16234,bmw
184,boulder,1988,excellent,6 cylinders,gas,140386,clean,manual,rwd,mid-size,convertible,silver,co,5397,bmw
185,rockford,2010,excellent,4 cylinders,gas,153694,clean,automatic,4wd,mid-size,SUV,red,il,26882,buick
186,knoxville,2011,excellent,8 cylinders,diesel,127365,clean,automatic,4wd,full-size,SUV,black,tn,6462,ford
187,beaumont / port arthur,2011,excellent,6 cylinders,gas,141429,rebuilt,automatic,4wd,full-size,truck,black,tx,22982,ford
188,hawaii,2014,excellent,4 cylinders,gas,74390,clean,automatic,fwd,compact,sedan,silver,hi,18075,volkswagen
189,colorado springs,2009,excellent,4 cylinders,gas,172978,clean,automatic,4wd,mid-size,SUV,silver,co,26809,nissan
190,albany,2015,good,4 cylinders,gas,44747,clean,automatic,fwd,full-size,SUV,black,,7534,chevrolet
191,winchester,1953,good,4 cylinders,gas,55057,clean,automatic,fwd,compact,coupe,purple,va,1043,dodge
192,tucson,2001,excellent,8 cylinders,gas,81849,clean,automatic,rwd,full-size,SUV,green,,4701,ford
193,reno / tahoe,2014,excellent,6 cylinders,gas,103068,clean,automatic,4wd,full-size,SUV,black,ca,20640,jeep
194,duluth / superior,2010,excellent,8 cylinders,gas,170409,clean,other,4wd,full-size,SUV,blue,mn,22648,bmw
195,milwaukee,2013,excellent,6 cylinders,gas,109280,clean,automatic,fwd,mid-size,sedan,blue,wi,11018,nissan
196,south florida,1978,good,8 cylinders,gas,127175,clean,other,rwd,full-size,coupe,black,fl,6201,bmw
197,rhode island,2016,good,4 cylinders,gas,306841,clean,automatic,fwd,mid-size,sedan,green,ri,4208,mazda
198,anchorage / mat-su,2013,excellent,6 cylinders,gas,81311,clean,automatic,fwd,mid-size,sedan,custom,ak,8701,ford
199,knoxville,2013,excellent,4 cylinders,gas,159795,clean,automatic,fwd,compact,SUV,black,tn,21257,chevrolet
200,richmond,2011,like new,4 cylinders,gas,96398,clean,automatic,fwd,sub-compact,sedan,black,va,4005,hyundai
201,bakersfield,2015,good,8 cylinders,gas,18919,clean,automatic,4wd,full-size,truck,black,,35433,gmc
202,las vegas,1990,excellent,6 cylinders,gas,85348,clean,automatic,rwd,full-size,coupe,black,nv,5090,bmw
203,corpus christi,2013,excellent,6 cylinders,gas,132374,clean,automatic,4wd,mid-size,truck,black,tx,27039,jeep
204,new haven,1998,excellent,6 cylinders,gas,176884,clean,automatic,fwd,full-size,sedan,green,ct,3482,buick
205,jackson,2001,excellent,8 cylinders,gas,86705,clean,automatic,4wd,full-size,truck,black,tn,12049,ford
206,dayton / springfield,1984,good,4 cylinders,gas,99730,clean,automatic,fwd,full-size,coupe,blue,oh,14722,chevrolet
207,san luis obispo,2019,good,4 cylinders,gas,25710,clean,automatic,fwd,compact,hatchback,white,ca,12713,ford
208,inland empire,2010,good,8 cylinders,gas,93555,clean,automatic,rwd,full-size,truck,white,ca,21419,chevrolet
209,ft myers / SW florida,2011,excellent,4 cylinders,gas,24780,salvage,automatic,fwd,mid-size,sedan,black,fl,4201,toyota
210,san antonio,2012,excellent,6 cylinders,gas,85714,clean,automatic,rwd,full-size,SUV,black,tx,7317,jeep
211,inland empire,1973,good,8 cylinders,gas,-1,clean,manual,rwd,full-size,coupe,black,ca,6335,chevrolet
212,billings,2010,good,6 cylinders,gas,139878,clean,automatic,4wd,full-size,SUV,silver,mt,4382,jeep
213,spokane / coeur d'alene,2003,excellent,6 cylinders,diesel,89844,clean,automatic,4wd,full-size,pickup,black,,16259,ram
214,"washington, DC",2011,excellent,4 cylinders,gas,96418,clean,automatic,fwd,mid-size,sedan,black,dc,7539,chevrolet
215,chicago,2012,excellent,6 cylinders,gas,195098,clean,automatic,4wd,mid-size,SUV,black,,10050,subaru
216,tallahassee,2012,good,4 cylinders,gas,157679,clean,other,fwd,full-size,sedan,blue,,6874,volkswagen
217,prescott,2010,excellent,4 cylinders,gas,253321,rebuilt,automatic,fwd,compact,hatchback,silver,az,4821,toyota
218,"washington, DC",2012,good,4 cylinders,gas,115650,clean,other,fwd,mid-size,sedan,blue,,8481,jeep
219,texoma,1980,good,6 cylinders,gas,83832,clean,manual,rwd,full-size,coupe,brown,ok,13481,ford
220,memphis,2014,excellent,6 cylinders,gas,157756,clean,automatic,fwd,full-size,sedan,silver,tn,22134,chevrolet
221,des moines,2018,excellent,4 cylinders,gas,324772,clean,manual,fwd,compact,hatchback,silver,,10717,toyota
222,youngstown,2005,like new,4 cylinders,gas,150876,clean,automatic,fwd,mid-size,convertible,blue,oh,12125,ford
223,east oregon,2009,good,6 cylinders,,160230,clean,manual,4wd,mid-size,truck,white,or,20864,ford
224,inland empire,2013,good,8 cylinders,diesel,124485,clean,automatic,4wd,full-size,truck,black,ca,6252,chevrolet
225,cape cod / islands,2017,excellent,8 cylinders,diesel,104129,clean,automatic,4wd,full-size,pickup,white,ma,13295,ford
226,colorado springs,2009,excellent,4 cylinders,gas,154975,clean,automatic,4wd,full-size,SUV,black,co,27073,chevrolet
227,rapid city / west SD,1990,good,6 cylinders,gas,229486,clean,automatic,4wd,full-size,SUV,black,sd,5192,ford
228,hickory / lenoir,2008,like new,4 cylinders,gas,37650,clean,automatic,rwd,mid-size,SUV,white,nc,18391,ford
229,florence,2014,like new,4 cylinders,gas,94756,clean,automatic,fwd,compact,sedan,silver,,7229,saturn
230,raleigh / durham / CH,2014,excellent,6 cylinders,gas,6189,clean,automatic,4wd,mid-size,SUV,blue,,36030,ford
231,"washington, DC",2010,excellent,4 cylinders,gas,107352,clean,automatic,fwd,compact,sedan,black,dc,5803,chevrolet
232,tucson,2006,fair,6 cylinders,gas,128288,clean,automatic,fwd,full-size,sedan,blue,az,6455,honda
233,ventura county,2014,excellent,4 cylinders,gas,73132,clean,automatic,fwd,mid-size,sedan,silver,ca,8971,volkswagen
234,duluth / superior,2008,excellent,4 cylinders,gas,127188,clean,automatic,fwd,mid-size,sedan,black,mn,6413,bmw
235,yakima,2011,excellent,4 cylinders,gas,93086,clean,manual,fwd,mid-size,other,silver,wa,8695,mazda
236,denver,2009,fair,8 cylinders,gas,152621,clean,automatic,fwd,full-size,SUV,silver,co,6917,infiniti
237,philadelphia,2011,good,6 cylinders,gas,42491,clean,automatic,rwd,full-size,coupe,white,,28449,chevrolet
238,south bend / michiana,2010,excellent,4 cylinders,gas,162021,clean,automatic,fwd,mid-size,sedan,red,in,3106,ford
239,denver,2007,excellent,4 cylinders,gas,162557,clean,other,fwd,mid-size,SUV,blue,co,3420,honda
